location_id,location_name,parameter,value,unit,datetimeutc,datetimelocal,latitude,longitude
6112507,aq_g520,pm25,42.967500000000015,µg/m³,2025-11-27 21:00:00+00:00,2025-11-28 00:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,49.91339512509671,µg/m³,2025-11-27 21:00:00+00:00,2025-11-28 00:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,30.38620000000001,µg/m³,2025-11-27 23:00:00+00:00,2025-11-28 02:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,41.123952553270925,µg/m³,2025-11-27 23:00:00+00:00,2025-11-28 02:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,28.829299999999925,µg/m³,2025-11-28 00:00:00+00:00,2025-11-28 03:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,36.55700525531339,µg/m³,2025-11-28 00:00:00+00:00,2025-11-28 03:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,49.58100000000013,µg/m³,2025-11-28 02:00:00+00:00,2025-11-28 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,61.885074654159645,µg/m³,2025-11-28 02:00:00+00:00,2025-11-28 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,65.98430000000002,µg/m³,2025-11-28 04:00:00+00:00,2025-11-28 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,93.19663980926408,µg/m³,2025-11-28 04:00:00+00:00,2025-11-28 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,38.62882112303329,µg/m³,2025-11-28 07:00:00+00:00,2025-11-28 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,24.57639999999997,µg/m³,2025-11-28 07:00:00+00:00,2025-11-28 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,15.33010000000002,µg/m³,2025-11-28 10:00:00+00:00,2025-11-28 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,25.26549582501248,µg/m³,2025-11-28 10:00:00+00:00,2025-11-28 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,14.249300000000051,µg/m³,2025-11-28 13:00:00+00:00,2025-11-28 16:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,22.24355968765419,µg/m³,2025-11-28 13:00:00+00:00,2025-11-28 16:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.343700000000123,µg/m³,2025-11-28 14:00:00+00:00,2025-11-28 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,28.39294897,µg/m³,2025-11-28 14:00:00+00:00,2025-11-28 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,38.90509999999997,µg/m³,2025-11-28 16:00:00+00:00,2025-11-28 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,49.11576746764815,µg/m³,2025-11-28 16:00:00+00:00,2025-11-28 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,59.85090366209246,µg/m³,2025-11-28 18:00:00+00:00,2025-11-28 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,47.77989999999998,µg/m³,2025-11-28 18:00:00+00:00,2025-11-28 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,52.83839999999994,µg/m³,2025-11-28 20:00:00+00:00,2025-11-28 23:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,69.75177560181953,µg/m³,2025-11-28 20:00:00+00:00,2025-11-28 23:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,45.84309999999999,µg/m³,2025-11-28 22:00:00+00:00,2025-11-29 01:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,59.37318805,µg/m³,2025-11-28 22:00:00+00:00,2025-11-29 01:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,39.28890000000005,µg/m³,2025-11-29 01:00:00+00:00,2025-11-29 04:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,53.08508624653332,µg/m³,2025-11-29 01:00:00+00:00,2025-11-29 04:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,46.88420000000008,µg/m³,2025-11-29 02:00:00+00:00,2025-11-29 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,62.29113236835386,µg/m³,2025-11-29 02:00:00+00:00,2025-11-29 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,84.84404352,µg/m³,2025-11-29 03:00:00+00:00,2025-11-29 06:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,61.55709999999981,µg/m³,2025-11-29 03:00:00+00:00,2025-11-29 06:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,46.96867673880813,µg/m³,2025-11-29 06:00:00+00:00,2025-11-29 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,35.56480000000005,µg/m³,2025-11-29 06:00:00+00:00,2025-11-29 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,30.37038741,µg/m³,2025-11-29 08:00:00+00:00,2025-11-29 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,19.910699999999984,µg/m³,2025-11-29 08:00:00+00:00,2025-11-29 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,34.204953072031046,µg/m³,2025-11-29 11:00:00+00:00,2025-11-29 14:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,23.722899999999928,µg/m³,2025-11-29 11:00:00+00:00,2025-11-29 14:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,13.90820000000002,µg/m³,2025-11-29 12:00:00+00:00,2025-11-29 15:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,22.92163740164701,µg/m³,2025-11-29 12:00:00+00:00,2025-11-29 15:00:00+03:00,0.30991,32.60045
